order_id,customer_id,order_date,status,region_code
1,246,2002-12-31 17:09:50,RETURNED,EAST
2,290,1982-04-22 00:52:55,CANCELLED,WEST
3,547,2024-05-25 11:58:26,DELIVERED,EAST
4,268,2005-11-21 07:42:14,DELIVERED,CENTRAL
5,510,1972-04-02 11:16:08,CANCELLED,NORTH
6,481,1993-05-01 12:47:29,DELIVERED,SOUTH
7,380,1975-09-29 19:25:57,DELIVERED,WEST
8,47,1979-11-15 17:46:35,RETURNED,SOUTH
9,150,2010-07-12 07:53:05,PLACED,EAST
10,567,2025-12-02 01:19:23,RETURNED,CENTRAL
11,428,1980-06-28 10:14:00,DELIVERED,SOUTH
12,-1,2003-10-01 20:40:13,DELIVERED,SOUTH
13,389,2021-03-23 23:36:11,RETURNED,SOUTH
14,512,1998-02-06 21:00:11,RETURNED,EAST
15,264,2022-06-04 14:17:11,CANCELLED,WEST
16,472,1996-01-28 16:01:03,SHIPPED,EAST
17,174,1986-03-12 00:00:00,SHIPPED,CENTRAL
18,501,2014-12-16 23:23:26,SHIPPED,CENTRAL
19,658,1999-12-15 20:35:01,PLACED,CENTRAL
20,35,2019-05-28 19:19:32,PLACED,NORTH
21,7,2013-05-22 00:06:21,CANCELLED,SOUTH
22,646,1981-05-20 20:21:11,SHIPPED,NORTH
23,155,1984-05-07 20:56:52,PLACED,SOUTH
24,518,2009-04-26 05:42:33,CANCELLED,EAST
25,62,2019-12-22 15:27:48,RETURNED,CENTRAL
26,495,1993-06-25 21:41:18,CANCELLED,NORTH
27,7,1973-09-12 06:35:29,RETURNED,CENTRAL
28,-1,2013-09-15 11:40:09,PLACED,NORTH
29,-1,1987-12-29 14:03:15,DELIVERED,CENTRAL
30,294,2021-05-30 15:42:58,PLACED,CENTRAL
31,691,2025-10-08 13:17:29,CANCELLED,SOUTH
32,110,1977-11-23 01:20:03,PLACED,CENTRAL
33,-1,1973-07-29 11:18:36,SHIPPED,SOUTH
34,635,1981-05-28 17:31:56,RETURNED,EAST
35,363,2001-07-30 03:41:13,DELIVERED,WEST
36,81,1997-02-18 20:32:19,DELIVERED,WEST
37,-1,2002-05-29 19:25:04,RETURNED,SOUTH
38,232,1990-07-05 12:29:46,DELIVERED,NORTH
39,670,2002-05-30 00:00:00,PLACED,NORTH
40,416,2020-10-10 16:08:01,CANCELLED,WEST
41,-1,2021-03-15 16:41:44,CANCELLED,NORTH
42,653,2006-03-28 21:03:01,PLACED,SOUTH
43,85,1985-11-25 00:00:00,CANCELLED,WEST
44,661,1995-11-05 23:59:56,DELIVERED,CENTRAL
45,-1,2016-07-06 17:34:21,RETURNED,NORTH
46,236,2018-01-06 23:27:08,SHIPPED,CENTRAL
47,487,1996-07-18 06:06:28,DELIVERED,NORTH
48,77,2002-04-18 23:42:42,DELIVERED,CENTRAL
49,578,1987-11-15 14:00:30,PLACED,SOUTH
50,323,1979-11-17 17:14:53,PLACED,SOUTH
51,602,2006-02-05 05:03:17,SHIPPED,WEST
52,79,1999-08-02 09:07:50,DELIVERED,SOUTH
53,578,1970-10-22 20:34:40,SHIPPED,CENTRAL
54,399,1989-08-26 23:16:04,RETURNED,EAST
55,-1,2024-04-04 05:22:10,SHIPPED,NORTH
56,513,2000-07-17 11:55:53,DELIVERED,NORTH
57,101,1995-12-30 18:18:59,CANCELLED,SOUTH
58,78,2016-03-04 01:05:01,DELIVERED,CENTRAL
59,629,1991-06-26 11:35:58,RETURNED,WEST
60,335,2006-01-31 12:29:04,PLACED,EAST
61,462,2016-06-20 23:35:07,CANCELLED,SOUTH
62,365,1972-10-16 11:57:39,RETURNED,WEST
63,443,1976-08-17 00:04:37,SHIPPED,CENTRAL
64,677,2006-02-26 08:49:41,CANCELLED,NORTH
65,634,2013-05-18 06:19:06,DELIVERED,SOUTH
66,76,1994-01-29 10:40:32,PLACED,EAST
67,158,1999-05-21 02:18:34,CANCELLED,SOUTH
68,399,2011-07-18 16:49:28,DELIVERED,EAST
69,110,2014-05-17 04:28:30,PLACED,NORTH
70,316,1988-07-20 06:37:20,CANCELLED,EAST
71,277,1992-10-17 15:50:31,PLACED,SOUTH
72,90,1988-05-24 23:48:42,SHIPPED,WEST
73,460,1988-03-05 12:05:04,RETURNED,CENTRAL
74,525,2024-08-06 16:21:19,CANCELLED,NORTH
75,27,1976-09-08 16:23:14,PLACED,EAST
76,568,1987-05-18 00:00:00,PLACED,CENTRAL
