product_id,product_name,category,subcategory,cost_price
1,Boat Rockerz 550,Electronics,Headphones,14048
2,Soap Dispenser,Home & Kitchen,Bathroom Accessories,5297
3,Calcium Supplement,Health,Vitamins,2624
4,Pen Stand,Office Supplies,Desk Organizers,443
5,Scrabble,Toys & Games,Board Games,1888
6,Redragon K552,Electronics,Keyboard,3181
7,Blue Ocean Strategy,Books,Business,1682
8,Captain America Figure,Toys & Games,Action Figures,1333
9,Running Shoes,Clothing,Footwear,9837
10,Dell Optical Mouse,Electronics,Mouse,2962
11,Cotton Crew Neck Tee,Clothing,T-Shirt,706
12,The Hobbit,Books,Fiction,356
13,System Design Guide,Books,Technology,3242
14,Wallet,Clothing,Accessories,2104
15,Road Bike,Sports & Fitness,Cycling,35024
16,LED Table Lamp,Home & Kitchen,Lighting,9981
17,Corsair K55,Electronics,Keyboard,3574
18,500 Piece Puzzle,Toys & Games,Puzzles,461
19,Document Tray,Office Supplies,Desk Organizers,517
20,Training Cones,Sports & Fitness,Football,13122
21,Redragon Cobra,Electronics,Mouse,2054
22,Sunscreen SPF 50,Beauty & Personal Care,Skincare,2995
23,Sennheiser HD450BT,Electronics,Headphones,4258
24,Captain America Figure,Toys & Games,Action Figures,3197
25,Comforter,Home & Kitchen,Bedding,9048
26,Sports Bottle,Sports & Fitness,Running,7636
27,Epson Ink Bottle,Office Supplies,Printer Supplies,4322
28,Puffer Jacket,Clothing,Jacket,5495
29,Bridgestone Tubeless Tyre,Automotive,Tyres,24395
30,iron man figure,Toys & Games,Action Figures,2324
31,Hair Oil,Beauty & Personal Care,Haircare,1018
32,Compact Powder,Beauty & Personal Care,Makeup,4781
33,Desk Organizer Box,Office Supplies,Desk Organizers,2376
34,Canon PIXMA G3010,Electronics,Printer,7805
35,Ikigai,Books,Self Help,1387
36,Good to Great,Books,Business,2135
37,OnePlus 13,Electronics,Smartphone,37045
38,500 Piece Puzzle,Toys & Games,Puzzles,1404
39,Brother Drum Unit,Office Supplies,Printer Supplies,9368
40,Medical Tape,Health,First Aid,2354
41,Waterproof Mascara,Beauty & Personal Care,Makeup,4638
42,Yoga Block,Sports & Fitness,Yoga,1288
43,Steve Jobs,Books,Biography,1771
44,Heating Pad,Health,Healthcare,1769
45,Blue Ocean Strategy,Books,Business,2448
46,HP Ink Cartridge,Office Supplies,Printer Supplies,3480
47,Treadmill,Sports & Fitness,Gym Equipment,24519
48,Batting Pads,Sports & Fitness,Cricket,4447
49,Cricket Bat,Sports & Fitness,Cricket,18432
50,Grip Tape,Sports & Fitness,Badminton,2180
51,Nikon Z50,Electronics,Camera,81524
52,Off Road Helmet,Automotive,Helmets,3820
53,Redragon K552,Electronics,Keyboard,1434
54,Floral Dress,Clothing,Dress,1406
55,Pen Stand,Office Supplies,Desk Organizers,721
56,Coffee Mug Set,Home & Kitchen,Dining,1695
57,Thinking Fast and Slow,Books,Non-Fiction,1032
58,RC Racing Bike,Toys & Games,Remote Control Toys,13955
59,Conference Table,Office Supplies,Office Furniture,26928
60,Off Road Helmet,Automotive,Helmets,14892
61,Pocket Notebook,Office Supplies,Notebooks,632
62,File Folder,Office Supplies,Stationery,253
63,The Gene,Books,Science,732
64,Flower Vase,Home & Kitchen,Home Decor,18387
65,Slim Fit Jeans,Clothing,Jeans,4146
66,Servo Engine Oil,Automotive,Engine Oil,4349
67,Cricket Ball,Sports & Fitness,Cricket,9740
68,Running Shoes,Sports & Fitness,Running,11762
69,  The Silk Road,Books,History,1654
70,Think and Grow Rich,Books,Self Help,1365
71,Clean Code,Books,Technology,1082
72,Graphic Print T-Shirt,Clothing,T-Shirt,1823
73,Yoga Strap,Sports & Fitness,Yoga,1318
74,  Mobil 1 Engine Oil,Automotive,Engine Oil,3797
75,Sports Bottle,Sports & Fitness,Running,1817
76,Sticky Notes,Office Supplies,Stationery,710
77,HP Ink Cartridge,Office Supplies,Printer Supplies,1796
78,Asterix Collection,Books,Comics,121
79,Cricket Ball,Sports & Fitness,Cricket,15717
80,Hot Water Bag,Health,Healthcare,2478
81,Cutlery Set,Home & Kitchen,Dining,8356
82,Formal Leather Shoes,Clothing,Footwear,7690
83,Matte Lipstick,Beauty & Personal Care,Makeup,2834
84,Woody Musk Cologne,Beauty & Personal Care,Fragrances,5222
85,RC Sports Car,Toys & Games,Remote Control Toys,8451
86,Oversized Hoodie,Clothing,Hoodie,3648
87,Party Dress,Clothing,Dress,7557
88,Brother HL-L2321D,Electronics,Printer,18541
89,BenQ GW2480,Electronics,Monitor,29709
90,Ruled Notebook,Office Supplies,Notebooks,828
91,Samsung Odyssey G5,Electronics,Monitor,41993
92,Pendant Light,Home & Kitchen,Lighting,14931
93,Car Phone Holder,Automotive,Car Accessories,8141
